name,main_info,whisky_type,volume(cl),alcohol(%),price(£),style_body_last,style_richness_last,style_smoke_last,style_sweetness_last,characters,food_paring,bottler,bottling_decade_clean,bottler_canon,is_independent,bottling_year,age,age_,age_int,is_nas,country,region,casktype,cask_group,colouring,vintage,vintage_clean,nose,palate,finish,reviews,_text_all,price_per_cl,alcohol_density,smoky_family,fruity_family,floral_family,herbal_family,sweet_family,nutty_family,spicy_family,woody_family,earthy_family,malty_family,creamy_family,wine_family,marine_family,other_family,rarity_scarcity,rarity_price_premium,rarity_distillery,rarity_vintage,rarity_score,cluster_taste,cluster_taste_name,pc1,pc2
Chivas Regal 25 Year Old,blended scotch whisky,blended,70.0,40.0,358.0,3.0,3.0,1.0,3.0,"Orange, Peach, Marzipan, Walnut, Butterscotch",,,,distillery bottling,0,,25 year old,25.0,25.0,0,scotland,unknown_scotland,not specified,unknown,Unknown,,,no description,no description,no description,,orange peach marzipan walnut butterscotch no description no description no description,5.114285714285714,2800.0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0.3333333333333333,0.0243371115050607,0.0,0.624414611301905,0.4591104772351873,1,Balanced,-0.04272229696300956,0.31407776943518073
Antiquary 30 Year OldSherry Cask Finish,blended scotch whisky,blended,70.0,40.0,265.0,4.0,4.0,0.0,3.0,"Walnut, Cashew, Stewed Fruit, Plums, White Pepper, Honeycomb",,,,distillery bottling,0,,30 year old,30.0,30.0,0,scotland,unknown_scotland,sherry finish,sherry,Unknown,,,no description,no description,no description,,walnut cashew stewed fruit plums white pepper honeycomb no description no description no description,3.7857142857142856,2800.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.3333333333333333,0.0175616246917973,0.0,0.7805182641273812,0.5168257039460966,4,Rich & Full-Body,2.1073920919476614,-0.06089702743221838
Sandy Macnab'sBot.1970s Montrose,blended scotch whisky,blended,75.0,43.0,150.0,3.1,3.0,0.8,3.0,no description,,,1970.0,distillery bottling,0,,,,17.584415584415584,1,scotland,unknown_scotland,not specified,unknown,Unknown,,,no description,no description,no description,,no description no description no description no description,2.0,3225.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.009183334546364,1.0,0.0,0.4009187654745765,1,Balanced,0.08178983474904629,0.1614367110594289
Chivas Imperial 18 Year OldBot.1990s,blended scotch whisky,blended,70.0,43.0,199.0,3.1,3.0,0.8,3.0,no description,,,1990.0,distillery bottling,0,,18 year old,18.0,18.0,0,scotland,unknown_scotland,not specified,unknown,Unknown,,,no description,no description,no description,,no description no description no description no description,2.842857142857143,3010.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.0127532146952877,0.0,0.4058694973462383,0.3658105442812462,1,Balanced,0.08178983474904629,0.1614367110594289
White HorseBot.1960s,blended scotch whisky,blended,75.7,43.0,399.0,3.1,3.0,0.8,3.0,no description,,,1960.0,distillery bottling,0,,,,17.584415584415584,1,scotland,unknown_scotland,not specified,unknown,Unknown,,,no description,no description,no description,,no description no description no description no description,5.270805812417437,3255.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.02732415407865,1.0,0.0,0.4116800216091144,1,Balanced,0.08178983474904629,0.1614367110594289
Dunhill Old MasterBot.1990s,blended scotch whisky,blended,70.0,43.0,150.0,3.1,3.0,0.8,3.0,no description,,,1990.0,distillery bottling,0,,,,17.584415584415584,1,scotland,unknown_scotland,not specified,unknown,Unknown,,,no description,no description,no description,,no description no description no description no description,2.142857142857143,3010.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.009183334546364,0.0,0.0,0.005447615806259,1,Balanced,0.08178983474904629,0.1614367110594289
House of Commons 12 Year OldBot.1980s,blended scotch whisky,blended,75.0,40.0,150.0,3.1,3.0,0.8,3.0,no description,,,1980.0,distillery bottling,0,,12 year old,12.0,12.0,0,scotland,unknown_scotland,not specified,unknown,True,,,no description,no description,no description,,no description no description no description no description,2.0,3000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.009183334546364,1.0,0.2185451139556667,0.6850826277791764,1,Balanced,0.08178983474904629,0.1614367110594289
Compass Box Celestial,blended scotch whisky,blended,70.0,50.0,297.0,3.1,3.0,0.8,3.0,no description,,,,compass box,1,,,,17.584415584415584,1,scotland,unknown_scotland,not specified,unknown,False,,,no description,no description,no description,,no description no description no description no description,4.242857142857143,3500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3452841935826765,0.0198929749931352,0.0,0.0,0.2166255520339459,1,Balanced,0.08178983474904629,0.1614367110594289
Wildmoor 30 Year Old Rugged Coast,blended scotch whisky,blended,70.0,42.0,525.0,4.0,4.0,2.0,4.0,"Ash, Smoke, Stewed Fruit, Salt (powder), Toffee, Pecan",,,,distillery bottling,0,,30 year old,30.0,30.0,0,scotland,unknown_scotland,oloroso sherry finish,sherry,Unknown,,,no description,no description,no description,,ash smoke stewed fruit salt powder toffee pecan no description no description no description,7.5,2940.0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0.3333333333333333,0.0365038458901682,0.0,0.7805182641273812,0.5280623569379836,0,Sweet & Rich & Full-Body,2.7957111139880437,0.518497527629164
Black & WhiteBot.1970s,blended scotch whisky,blended,75.0,40.0,120.0,3.1,3.0,0.8,3.0,no description,,,1970.0,distillery bottling,0,,,,17.584415584415584,1,scotland,unknown_scotland,not specified,unknown,Unknown,,,no description,no description,no description,,no description no description no description no description,1.6,3000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0069976936388597,1.0,0.0,0.3996222285908973,1,Balanced,0.08178983474904629,0.1614367110594289
Bell's 12 Year OldBot.1990s,blended scotch whisky,blended,100.0,43.0,135.0,3.1,3.0,0.8,3.0,no description,,,1990.0,distillery bottling,0,,12 year old,12.0,12.0,0,scotland,unknown_scotland,not specified,unknown,True,,,no description,no description,no description,,no description no description no description no description,1.35,4300.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.0080905140926118,0.0,0.2185451139556667,0.2889632096690191,1,Balanced,0.08178983474904629,0.1614367110594289
Isle of Skye 25 Year Old Blended Whisky,blended scotch whisky,blended,70.0,40.0,250.0,3.0,3.0,3.0,3.0,"Malt, Toffee, Smoke, Apricot, Pear",,,,distillery bottling,0,,25 year old,25.0,25.0,0,scotland,unknown_scotland,not specified,unknown,Unknown,,,no description,no description,no description,,malt toffee smoke apricot pear no description no description no description,3.571428571428572,2800.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.0164688042380451,0.0,0.624414611301905,0.454442944453942,3,Smoky & Full-Body,-0.0898929014641041,2.173681748756702
Isle of Skye 21 Year Old Blended Whisky,blended scotch whisky,blended,70.0,40.0,118.0,3.0,3.0,3.0,3.0,"Honey, Oats, Banana, Mango, Peat smoke",,,,distillery bottling,0,,21 year old,21.0,21.0,0,scotland,unknown_scotland,not specified,unknown,Unknown,,,no description,no description,no description,,honey oats banana mango peat smoke no description no description no description,1.6857142857142855,2800.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.006851984245026,0.0,0.499531689041524,0.3993505893255012,3,Smoky & Full-Body,-0.0898929014641041,2.173681748756702
White HorseBot.1980s,blended scotch whisky,blended,75.0,43.0,120.0,3.1,3.0,0.8,3.0,no description,,,1980.0,distillery bottling,0,,,,17.584415584415584,1,scotland,unknown_scotland,not specified,unknown,Unknown,,,no description,no description,no description,,no description no description no description no description,1.6,3225.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0069976936388597,1.0,0.0,0.3996222285908973,1,Balanced,0.08178983474904629,0.1614367110594289
Johnnie Walker Premier,blended scotch whisky,blended,100.0,43.0,299.0,3.1,3.0,0.8,3.0,no description,,,,distillery bottling,0,,,,17.584415584415584,1,scotland,unknown_scotland,not specified,unknown,Unknown,,,no description,no description,no description,,no description no description no description no description,2.99,4300.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0200386843869689,0.0,0.0,0.0118870823285327,1,Balanced,0.08178983474904629,0.1614367110594289
The Scotsman 8 Year OldBot.1970s,blended scotch whisky,blended,75.0,40.0,175.0,3.1,3.0,0.8,3.0,no description,,,1970.0,distillery bottling,0,,8 year old,8.0,8.0,0,scotland,unknown_scotland,not specified,unknown,Unknown,,,no description,no description,no description,,no description no description no description no description,2.333333333333333,3000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.0110047019692843,1.0,0.0936621916952857,0.6367754823419903,1,Balanced,0.08178983474904629,0.1614367110594289
Dimple Haig'sBot.1950s Spring Cap,blended scotch whisky,blended,75.0,40.0,250.0,3.1,3.0,0.8,3.0,no description,,,1950.0,distillery bottling,0,,,,17.584415584415584,1,scotland,unknown_scotland,not specified,unknown,Unknown,,,no description,no description,no description,,no description no description no description no description,3.333333333333333,3000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0164688042380451,1.0,0.0,0.4052405550868408,1,Balanced,0.08178983474904629,0.1614367110594289
Dewar's 12 Year OldBot.1970s,blended scotch whisky,blended,75.0,43.0,279.99,3.1,3.0,0.8,3.0,no description,,,1970.0,distillery bottling,0,,12 year old,12.0,12.0,0,scotland,unknown_scotland,not specified,unknown,Unknown,,,no description,no description,no description,,no description no description no description no description,3.7332,3225.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.0186537165985803,1.0,0.2185451139556667,0.6907005220961586,1,Balanced,0.08178983474904629,0.1614367110594289
St. James's12 Year Old Bot.1980s Berry Bros & Rudd,blended scotch whiskyberry bros & rudd,blended,75.0,43.0,120.0,3.1,3.0,0.8,3.0,no description,,berry bros & rudd,1980.0,berry bros & rudd,1,,,,17.584415584415584,1,scotland,unknown_scotland,not specified,unknown,Unknown,,,no description,no description,no description,,no description no description no description no description,1.6,3225.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3585958936512441,0.0069976936388597,1.0,0.0,0.6123437240837901,1,Balanced,0.08178983474904629,0.1614367110594289
Buchanan's DeluxeBot.1950s Spring Cap,blended scotch whisky,blended,75.0,43.0,325.0,3.1,3.0,0.8,3.0,no description,,,1950.0,distillery bottling,0,,,,17.584415584415584,1,scotland,unknown_scotland,not specified,unknown,Unknown,,,no description,no description,no description,,no description no description no description no description,4.333333333333333,3225.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.021932906506806,1.0,0.0,0.4084818972960389,1,Balanced,0.08178983474904629,0.1614367110594289
Bell's OriginalBot.2000s,blended scotch whisky,blended,35.0,40.0,14.95,3.1,3.0,0.8,3.0,no description,,,2000.0,distillery bottling,0,,,,17.584415584415584,1,scotland,unknown_scotland,not specified,unknown,Unknown,,,no description,no description,no description,,no description no description no description no description,0.4271428571428571,1400.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.2731277854627338,0.0,0.0,0.1620212389849633,1,Balanced,0.08178983474904629,0.1614367110594289
Something SpecialDe Luxe Whisky Bot.1970s,blended scotch whisky,blended,75.0,40.0,175.0,3.1,3.0,0.8,3.0,no description,,,1970.0,distillery bottling,0,,,,17.584415584415584,1,scotland,unknown_scotland,not specified,unknown,Unknown,,,no description,no description,no description,,no description no description no description no description,2.333333333333333,3000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0110047019692843,1.0,0.0,0.4019992128776426,1,Balanced,0.08178983474904629,0.1614367110594289
Buchanan's DeluxeBot.1950s Spring Cap,blended scotch whisky,blended,75.0,43.0,325.0,3.1,3.0,0.8,3.0,no description,,,1950.0,distillery bottling,0,,,,17.584415584415584,1,scotland,unknown_scotland,not specified,unknown,Unknown,,,no description,no description,no description,,no description no description no description no description,4.333333333333333,3225.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.021932906506806,1.0,0.0,0.4084818972960389,1,Balanced,0.08178983474904629,0.1614367110594289
Compass Box Art & Decadence,blended scotch whiskycompass box,blended,70.0,49.0,147.0,3.1,3.0,0.8,3.0,no description,,compass box,,compass box,1,,,,17.584415584415584,1,scotland,unknown_scotland,not specified,unknown,False,,,no description,no description,no description,,no description no description no description no description,2.1,3430.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3452841935826765,0.0089647704556136,0.0,0.0,0.2101428676155496,1,Balanced,0.08178983474904629,0.1614367110594289
Blended Scotch Whisky 20185 Year Old Peatsmoke on Gorgie Watt Whisky,blended scotch whiskywatt whisky,blended,70.0,57.1,53.75,3.0,3.0,3.0,3.0,"Candied peel, Peat smoke, Coconut, Vanilla",,watt whisky,,watt whisky,1,,5 year old,5.0,5.0,0,scotland,unknown_scotland,not specified,unknown,False,,,no description,no description,no description,,candied peel peat smoke coconut vanilla no description no description no description,0.7678571428571429,3997.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.7033392556147784,0.4575057130831951,0.0,0.0,0.6886210415365044,3,Smoky & Full-Body,-0.0898929014641041,2.173681748756702
Blended Scotch Whisky 197841 Year Old The Artful Dodger,blended scotch whiskythe artful dodger,blended,50.0,49.4,199.0,4.0,4.0,0.0,3.0,"Vanilla, Butterscotch, Ginger, Almond, Black Pepper",,the artful dodger,,artful dodger,1,,41 year old,41.0,41.0,0,scotland,unknown_scotland,bourbon hogshead,bourbon,Unknown,,,no description,no description,no description,,vanilla butterscotch ginger almond black pepper no description no description no description,3.98,2470.0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0.7330053300533006,0.2859540005643323,0.0,1.0,0.9999246765852394,4,Rich & Full-Body,2.1073920919476614,-0.06089702743221838
Cutty Sark Centenary Edition 23 Year Old,blended scotch whisky,blended,70.0,52.2,859.0,3.0,3.0,0.0,3.0,"Tobacco, Ginger, Malt, Candied peel",,,,distillery bottling,0,,23 year old,23.0,23.0,0,scotland,unknown_scotland,not specified,unknown,Unknown,,,no description,no description,no description,,tobacco ginger malt candied peel no description no description no description,12.271428571428572,3654.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.3333333333333333,0.0608373146603831,0.0,0.5619731501717146,0.4560688467725051,1,Balanced,-0.019136994712462305,-0.6157242202255798
DimpleBot.1950s Spring Cap,blended scotch whisky,blended,75.0,40.0,250.0,3.1,3.0,0.8,3.0,no description,,,1950.0,distillery bottling,0,,,,17.584415584415584,1,scotland,unknown_scotland,not specified,unknown,Unknown,,,no description,no description,no description,,no description no description no description no description,3.333333333333333,3000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0164688042380451,1.0,0.0,0.4052405550868408,1,Balanced,0.08178983474904629,0.1614367110594289
Ballantine's 12 Year OldBot.1980s,blended scotch whisky,blended,75.0,43.0,135.0,3.1,3.0,0.8,3.0,no description,,,1980.0,distillery bottling,0,,12 year old,12.0,12.0,0,scotland,unknown_scotland,not specified,unknown,Unknown,,,no description,no description,no description,,no description no description no description no description,1.8,3225.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.0080905140926118,1.0,0.2185451139556667,0.6844343593373367,1,Balanced,0.08178983474904629,0.1614367110594289
